number_of_clusters;silhouette_score;PCA_silhouette_score
2;0.6643417933195046;0.6721146244133224
3;0.7423916816874466;0.7552503101218866
4;0.7050901937494735;0.7224983458381693
5;0.6620466121203396;0.6830299304781312
6;0.6716604985749273;0.6730854675760026
7;0.6564228910804116;0.6941709453474456
